1953-06-15,23.84,5510000
1953-06-22,24.209999,5100000
1953-06-29,24.360001,4390000
1953-07-06,24.41,4570000
1953-07-13,24.35,4620000
1953-07-20,24.23,4470000
1953-07-27,24.75,5810000
1953-08-03,24.780001,5390000
1953-08-10,24.620001,5060000
1953-08-17,24.35,5050000
1953-08-24,23.74,6200000
1953-08-31,23.57,6550000
1953-09-07,23.139999,4540000
1953-09-14,22.950001,9450000
1953-09-21,23.299999,5540000
1953-09-28,23.59,5090000
1953-10-05,23.66,4900000
1953-10-12,24.139999,5750000
1953-10-19,24.35,6450000
1953-10-26,24.540001,6780000
1953-11-02,24.610001,6240000
1953-11-09,24.540001,5710000
1953-11-16,24.440001,6710000
1953-11-23,24.66,6020000
1953-11-30,24.98,8520000
1953-12-07,24.76,7070000
1953-12-14,24.99,8020000
1953-12-21,24.799999,6250000
1953-12-28,24.809999,8250000
1954-01-04,24.93,7090000
1954-01-11,25.43,7600000
1954-01-18,25.85,9050000
1954-01-25,26.08,9680000
1954-02-01,26.299999,8920000
1954-02-08,26.120001,9440000
1954-02-15,25.92,8700000
1954-02-22,26.15,6200000
1954-03-01,26.52,10120000
1954-03-08,26.690001,9180000
1954-03-15,26.809999,8910000
1954-03-22,26.559999,9150000
1954-03-29,27.209999,10790000
1954-04-05,27.379999,10320000
1954-04-12,27.940001,8340000
1954-04-19,27.780001,9900000
1954-04-26,28.26,10840000
1954-05-03,28.65,9930000
1954-05-10,28.799999,10090000
1954-05-17,28.99,11150000
1954-05-24,29.190001,10730000
1954-05-31,29.1,7310000
1954-06-07,28.58,9660000
1954-06-14,29.040001,8510000
1954-06-21,29.200001,10330000
1954-06-28,29.59,10260000
1954-07-05,30.139999,9260000
1954-07-12,30.059999,12820000
1954-07-19,30.309999,12870000
1954-07-26,30.879999,13050000
1954-08-02,30.379999,15940000
1954-08-09,30.719999,13790000
1954-08-16,31.209999,12480000
1954-08-23,30.66,10100000
1954-08-30,30.5,9610000
1954-09-06,30.84,7400000
1954-09-13,31.709999,10390000
1954-09-20,32.400002,10770000
1954-09-27,32.290001,9490000
1954-10-04,32.669998,10800000
1954-10-11,31.709999,10580000
1954-10-18,32.130001,10470000
1954-10-25,31.68,10470000
1954-11-01,32.709999,10580000
1954-11-08,33.540001,15170000
1954-11-15,33.450001,16830000
1954-11-22,34.549999,13690000
1954-11-29,34.490002,16820000
1954-12-06,34.560001,18480000
1954-12-13,35.919998,15260000
1954-12-20,35.369999,14170000
1954-12-27,35.98,18490000
1955-01-03,35.330002,22960000
1955-01-10,35.279999,17360000
1955-01-17,35.439999,14040000
1955-01-24,36.189999,16790000
1955-01-31,36.959999,16290000
1955-02-07,37.150002,17090000
1955-02-14,36.889999,16810000
1955-02-21,36.57,11500000
1955-02-28,37.52,14920000
1955-03-07,35.82,15180000
1955-03-14,36.18,14530000
1955-03-21,36.959999,12370000
1955-03-28,36.950001,14060000
1955-04-04,37.34,9430000
1955-04-11,37.959999,14340000
1955-04-18,38.009998,14480000
1955-04-25,37.959999,12880000
1955-05-02,37.889999,11590000
1955-05-09,37.439999,11050000
1955-05-16,37.740002,10690000
1955-05-23,37.93,10130000
1955-05-30,38.369999,9700000
1955-06-06,39.25,14520000
1955-06-13,40.099998,13380000
1955-06-20,40.959999,13530000
1955-06-27,41.189999,11520000
1955-07-04,42.639999,11570000
1955-07-11,42.400002,11620000
1955-07-18,43,11570000
1955-07-25,43.52,11170000
1955-08-01,42.560001,10540000
1955-08-08,42.209999,8700000
1955-08-15,42.02,7280000
1955-08-22,42.990002,9780000
1955-08-29,43.599998,9060000
1955-09-05,43.889999,9690000
1955-09-12,45.09,13100000
1955-09-19,45.630001,12030000
1955-09-26,43.669998,21700000
